6480.8,1108.2,-2145.5
6449.4,1529.8,-1976.1
6390,1944.7,-1798.2
6302.9,2351.2,-1612.5
6188.5,2747.5,-1419.8
6047.3,3131.9,-1221
5879.9,3502.8,-1016.8
5687,3858.5,-808.28
5469.5,4197.4,-596.24
5228.4,4518.2,-381.62
4964.6,4819.5,-165.35
4679.3,5099.9,51.641
4373.8,5358.2,268.41
4049.4,5593.4,484.01
3707.4,5804.4,697.52
3349.5,5990.3,908.02
2977,6150.2,1114.6
2591.7,6283.6,1316.3
2195.2,6389.9,1512.4
1789.2,6468.5,1701.9
1375.5,6519.2,1884.1
955.78,6541.7,2058.1
531.96,6535.9,2223.3
105.85,6501.9,2378.8
-320.71,6439.8,2524
-745.9,6349.8,2658.4
-1167.9,6232.4,2781.2
-1584.8,6088.1,2892.1
-1994.8,5917.5,2990.4
-2396.3,5721.3,3075.8
-2787.4,5500.4,3148
-3166.4,5255.7,3206.5
-3531.7,4988.3,3251.1
-3881.8,4699.3,3281.7
-4215.1,4390,3298.1
-4530.2,4061.8,3300.3
-4825.7,3715.9,3288.2
-5100.3,3354,3261.8
-5352.8,2977.5,3221.3
-5582.2,2588.2,3166.9
-5787.4,2187.7,3098.8
-5967.5,1777.7,3017.3
-6121.8,1360,2922.7
-6249.6,936.43,2815.4
-6350.3,508.79,2696
-6423.5,78.939,2564.9
-6468.9,-351.25,2422.6
-6486.2,-779.91,2269.9
-6475.4,-1205.2,2107.3
-6436.5,-1625.3,1935.5
-6369.7,-2038.3,1755.4
-6275.2,-2442.4,1567.6
-6153.5,-2836,1373.1
-6005.1,-3217.2,1172.6
-5830.6,-3584.5,966.97
-5630.8,-3936.2,757.16
-5406.5,-4270.8,544.07
-5158.8,-4586.9,328.61
-4888.6,-4883,111.72
-4597.2,-5157.9,-105.65
-4285.7,-5410.3,-322.56
-3955.7,-5639.3,-538.08
-3608.4,-5843.7,-751.25
-3245.5,-6022.7,-961.15
-2868.4,-6175.5,-1166.9
-2478.9,-6301.4,-1367.5
-2078.5,-6400,-1562.2
-1669.2,-6470.6,-1750.1
-1252.5,-6513.1,-1930.4
